T,Ch_0,Ch_1
0,-0.000498113,-0.002561536
3.90625E-05,-0.000489852,-0.002424851
0.000078125,-0.000480089,-0.002397251
0.000117188,-0.000485158,-0.002478173
0.00015625,-0.000485158,-0.002500328
0.000195313,-0.000508064,-0.002584442
0.000234375,-0.000524774,-0.002631757
0.000273438,-0.000523272,-0.002670246
0.0003125,-0.000539795,-0.002605283
0.000351563,-0.000544301,-0.002653912
0.000390625,-0.000561199,-0.002745348
0.000429688,-0.000586545,-0.002749667
0.00046875,-0.00056946,-0.002851054
0.000507813,-0.000597435,-0.002762809
0.000546875,-0.000592929,-0.002743283
0.000585938,-0.000582603,-0.002894425
0.000625,-0.000640994,-0.003001633
0.000664063,-0.000646064,-0.003006327
0.000703125,-0.000645688,-0.002919772
0.000742188,-0.000645313,-0.002953005
0.00078125,-0.000649819,-0.003029984
0.000820313,-0.000681549,-0.003058147
0.000859375,-0.000672349,-0.00304707
0.000898438,-0.000690937,-0.00311729
0.0009375,-0.000696757,-0.003082931
0.000976563,-0.000672162,-0.003030923
0.001015625,-0.000704268,-0.003103396
0.001054688,-0.000705957,-0.003151086
0.00109375,-0.000706521,-0.003121421
0.001132813,-0.000729051,-0.003051201
0.001171875,-0.000714406,-0.003157282
0.001210938,-0.000720978,-0.003114098
0.00125,-0.000738251,-0.003089315
0.001289063,-0.000741819,-0.003195584
0.001328125,-0.000743508,-0.00310058
0.001367188,-0.000739565,-0.003094947
0.00140625,-0.000750268,-0.003176996
0.001445313,-0.000759655,-0.003135502
0.001484375,-0.000762284,-0.003108466
0.001523438,-0.000770733,-0.003141886
0.0015625,-0.000759092,-0.00308218
0.001601563,-0.000760782,-0.00302285
0.001640625,-0.000764349,-0.003061903
0.001679688,-0.000764912,-0.003086123
0.00171875,-0.00077261,-0.002888793
0.001757813,-0.000763786,-0.002892736
0.001796875,-0.000771296,-0.003077111
0.001835938,-0.000761721,-0.002889168
0.001875,-0.000764349,-0.002843168
0.001914063,-0.000771296,-0.00286814
0.001953125,-0.0007559,-0.002892736
0.001992188,-0.000779933,-0.002891046
0.00203125,-0.0007835,-0.002884099
0.002070313,-0.000793076,-0.003029796
0.002109375,-0.000813353,-0.002852932
0.002148438,-0.000797957,-0.002898932
0.0021875,-0.000816169,-0.002957135
0.002226563,-0.000818235,-0.00288485
0.002265625,-0.000814855,-0.002977976
0.002304688,-0.000824243,-0.002885413
0.00234375,-0.000822553,-0.002889168
0.002382813,-0.000857288,-0.002946058
0.002421875,-0.000854096,-0.00294925
0.002460938,-0.000843769,-0.002954131
0.0025,-0.0008571,-0.00290907
0.002539063,-0.000839451,-0.00292747
0.002578125,-0.000852969,-0.002928784
0.002617188,-0.000873247,-0.002824768
0.00265625,-0.000858602,-0.002916205
0.002695313,-0.000871181,-0.002915829
0.002734375,-0.000868177,-0.002788907
0.002773438,-0.000863859,-0.002836221
0.0028125,-0.000881884,-0.002779144
0.002851563,-0.000857663,-0.00279454
0.002890625,-0.0008663,-0.002771071
0.002929688,-0.000870806,-0.002706295
0.00296875,-0.000859541,-0.002835283
0.003007813,-0.000870994,-0.002743846
0.003046875,-0.000866863,-0.002651283
0.003085938,-0.000871933,-0.002771634
0.003125,-0.000873998,-0.002707234
0.003164063,-0.00087043,-0.002646402
0.003203125,-0.000872871,-0.002620116
0.003242188,-0.000871181,-0.002574679
0.00328125,-0.0008663,-0.002584818
0.003320313,-0.000882822,-0.002567545
0.003359375,-0.000886765,-0.00261561
0.003398438,-0.000883198,-0.002556843
0.0034375,-0.00088639,-0.002495822
0.003476563,-0.000887704,-0.002637577
0.003515625,-0.000899157,-0.002627814
0.003554688,-0.000896716,-0.002556279
0.00359375,-0.000898969,-0.00261561
0.003632813,-0.00089803,-0.00252699
0.003671875,-0.000896904,-0.002461463
0.003710938,-0.000908545,-0.002583504
0.00375,-0.000916243,-0.002584255
0.003789063,-0.000913802,-0.002476108
0.003828125,-0.000912112,-0.002527928
0.003867188,-0.000918871,-0.002581063
0.00390625,-0.000922251,-0.002566981
0.003945313,-0.000922063,-0.002521169
0.003984375,-0.000938773,-0.002530932
0.004023438,-0.000950414,-0.0025713
0.0040625,-0.000929949,-0.002475357
0.004101563,-0.000924504,-0.002484182
0.004140625,-0.000929385,-0.002415651
0.004179688,-0.000919998,-0.002312011
0.00421875,-0.000917369,-0.002390116
0.004257813,-0.000926569,-0.002445129
0.004296875,-0.000928071,-0.002376974
0.004335938,-0.0009399,-0.002386737
0.004375,-0.000951728,-0.002362517
0.004414063,-0.000932953,-0.002212501
0.004453125,-0.000949663,-0.002355194
0.004492188,-0.000959802,-0.002410769
0.00453125,-0.000939149,-0.002298117
0.004570313,-0.000947973,-0.002296427
0.004609375,-0.000955108,-0.00227277
0.004648438,-0.000970879,-0.002272582
0.0046875,-0.000963932,-0.002202925
0.004726563,-0.000949287,-0.002172133
0.004765625,-0.000967124,-0.002217758
0.004804688,-0.00094572,-0.002155799
0.00484375,-0.000947598,-0.002216631
0.004882813,-0.000976136,-0.002266198
0.004921875,-0.000966749,-0.002132142
