T,Ch_0,Ch_1
0,0.000403109,0.000317869
3.90625E-05,0.000426203,0.000303224
0.000078125,0.000424138,0.000361803
0.000117188,0.000444227,0.000248399
0.00015625,0.000436154,0.000275248
0.000195313,0.000423011,0.000337395
0.000234375,0.000446293,0.000227934
0.000273438,0.000413999,0.000231314
0.0003125,0.000405362,0.000166163
0.000351563,0.000435027,0.00034115
0.000390625,0.000437656,0.000362179
0.000429688,0.000446856,0.000213853
0.00046875,0.000440848,0.00040893
0.000507813,0.000456056,0.000409493
0.000546875,0.000483844,0.000448921
0.000585938,0.000472578,0.000578472
0.000625,0.000505999,0.000599313
0.000664063,0.000503933,0.000639117
0.000703125,0.000481778,0.000551435
0.000742188,0.000512382,0.000611141
0.00078125,0.000495297,0.000667468
0.000820313,0.000508064,0.000563639
0.000859375,0.000523835,0.000650007
0.000898438,0.000510505,0.000698447
0.0009375,0.000527403,0.000677231
0.000976563,0.00052346,0.000737312
0.001015625,0.00053266,0.000692064
0.001054688,0.000532284,0.00070821
0.00109375,0.000534913,0.000799084
0.001132813,0.000565705,0.000818798
0.001171875,0.000557068,0.000763598
0.001210938,0.000544113,0.000741631
0.00125,0.000555754,0.000823867
0.001289063,0.000562701,0.000735623
0.001328125,0.000556317,0.000720602
0.001367188,0.000576031,0.000918683
0.00140625,0.000581476,0.000855786
0.001445313,0.000574717,0.000795704
0.001484375,0.000588048,0.000906292
0.001523438,0.000574341,0.000874373
0.0015625,0.000579223,0.000867239
0.001601563,0.00057359,0.00077599
0.001640625,0.000568521,0.000738063
0.001679688,0.000588799,0.000822365
0.00171875,0.000565705,0.000723043
0.001757813,0.000560823,0.000812039
0.001796875,0.000566456,0.000861982
0.001835938,0.000563076,0.00082612
0.001875,0.000604382,0.000869867
0.001914063,0.000599501,0.00079439
0.001953125,0.00058955,0.000865361
0.001992188,0.000615272,0.000948349
0.00203125,0.000596121,0.000947034
0.002070313,0.000618276,0.000948161
0.002109375,0.00062879,0.0009399
0.002148438,0.000607198,0.000980642
0.0021875,0.000632358,0.001020822
0.002226563,0.000633109,0.000942716
0.002265625,0.000622594,0.000944969
0.002304688,0.000636488,0.000982708
0.00234375,0.000625786,0.000890708
0.002382813,0.000609452,0.000920749
0.002421875,0.000610015,0.000905916
0.002460938,0.000607386,0.000816733
0.0025,0.000628603,0.000784251
0.002539063,0.00062297,0.000793076
0.002578125,0.000607762,0.000801149
0.002617188,0.000626162,0.000789884
0.00265625,0.000615647,0.000786504
0.002695313,0.000615835,0.000768667
0.002734375,0.000627288,0.000739753
0.002773438,0.000614521,0.000746325
0.0028125,0.000626162,0.000858602
0.002851563,0.000633484,0.000815418
0.002890625,0.000629541,0.000739378
0.002929688,0.000638178,0.000783688
0.00296875,0.000636488,0.000790447
0.003007813,0.000649819,0.000779557
0.003046875,0.000650382,0.000784251
0.003085938,0.000656766,0.000861606
0.003125,0.000665402,0.000775239
0.003164063,0.000646251,0.000741819
0.003203125,0.000650194,0.000813541
0.003242188,0.000644937,0.000782561
0.00328125,0.000641558,0.000793263
0.003320313,0.000652823,0.000756463
0.003359375,0.000651509,0.000783688
0.003398438,0.0006547,0.000818798
0.0034375,0.000666529,0.000865737
0.003476563,0.000669533,0.000887328
0.003515625,0.000661084,0.000815418
0.003554688,0.000654888,0.000822553
0.00359375,0.000661084,0.000842643
0.003632813,0.000655451,0.000824806
0.003671875,0.000644374,0.000804716
0.003710938,0.000670096,0.00080772
0.00375,0.000672537,0.00078932
0.003789063,0.000653011,0.000842643
0.003828125,0.000655639,0.000868177
0.003867188,0.000657892,0.000757778
0.00390625,0.000649819,0.000672162
0.003945313,0.000642496,0.000692439
0.003984375,0.000656766,0.000698447
0.004023438,0.000660709,0.000718537
0.0040625,0.000655264,0.00079101
0.004101563,0.000660709,0.000728112
0.004140625,0.000664464,0.000729239
0.004179688,0.000676855,0.00083288
0.00421875,0.000682864,0.000809035
0.004257813,0.000676292,0.000716284
0.004296875,0.000669345,0.000780308
0.004335938,0.00067066,0.00079608
0.004375,0.000678357,0.000716659
0.004414063,0.000675917,0.000709149
0.004453125,0.000664651,0.000658831
0.004492188,0.000657141,0.000632921
0.00453125,0.000662774,0.000545615
0.004570313,0.000662774,0.00066146
0.004609375,0.000663525,0.000723982
0.004648438,0.000648129,0.000554252
0.0046875,0.000646064,0.000600815
0.004726563,0.000660896,0.000479525
0.004765625,0.000637615,0.000452864
0.004804688,0.000646251,0.000510505
0.00484375,0.000633296,0.000325754
0.004882813,0.000621468,0.000359362
0.004921875,0.0006363,0.000371379
0.004960938,0.000623909,0.000321624
0.005,0.000655451,0.000399354
0.005039063,0.000640243,0.000389215
0.005078125,0.00063386,0.000381893
0.005117188,0.000656202,0.000364244
0.00515625,0.000628039,0.000321248
0.005195313,0.000659582,0.000332138
0.005234375,0.00065057,0.000286701
0.005273438,0.00062297,0.000245959
0.0053125,0.000634423,0.000295526
0.005351563,0.000622782,0.00027675
0.005390625,0.000633109,0.000170106
0.005429688,0.000614709,0.000179306
0.00546875,0.000622782,0.000215355
0.005507813,0.000634423,0.00021911
0.005546875,0.000620905,0.000238636
0.005585938,0.000641558,0.000198832
0.005625,0.000633109,0.000218359
0.005664063,0.000623721,0.000207469
0.005703125,0.000625598,0.000212726
0.005742188,0.000624284,0.000238261
0.00578125,0.000622407,0.000153396
0.005820313,0.000633109,0.000238636
0.005859375,0.000640431,0.000267738
0.005898438,0.000629354,0.000222301
0.0059375,0.00063799,0.000282383
0.005976563,0.000636113,0.000231501
0.006015625,0.000628039,0.000245583
0.006054688,0.000639492,0.000255346
0.00609375,0.000642872,0.000202212
0.006132813,0.000635737,0.000194889
0.006171875,0.000634047,0.000200897
0.006210938,0.000637051,0.000220236
0.00625,0.000637051,0.000132743
0.006289063,0.000630668,0.000103265
0.006328125,0.000634611,0.000127861
0.006367188,0.000629166,7.20977783538856E-05
0.00640625,0.000611141,3.73631715948522E-05
0.006445313,0.000613207,3.07917595053053E-05
0.006484375,0.000626162,8.58038664263691E-05
0.006523438,0.000629166,0.000101763
0.0065625,0.000616774,8.41140747461999E-05
0.006601563,0.000620717,3.99917364306709E-05
0.006640625,0.000614896,-2.74E-05
0.006679688,0.000601941,-1.71E-05
0.00671875,0.000606823,-8.88E-05
0.006757813,0.000585043,-9.52E-05
0.006796875,0.000576594,-8.71E-05
0.006835938,0.000585794,-0.000126547
0.006875,0.000575656,-0.000102326
0.006914063,0.000582039,-0.000182498
0.006953125,0.000591803,-0.000114906
0.006992188,0.000587296,-0.000140065
0.00703125,0.000573403,-0.000230375
0.007070313,0.000565705,-0.000162032
0.007109375,0.000555003,-0.000323313
0.007148438,0.000539044,-0.000313738
0.0071875,0.000546554,-0.000259852
0.007226563,0.000546741,-0.00028933
0.007265625,0.000545239,-0.000205216
0.007304688,0.00055519,-0.000311673
0.00734375,0.000567582,-0.000343028
0.007382813,0.000554064,-0.000328946
0.007421875,0.000536603,-0.000380579
0.007460938,0.000544301,-0.000390717
0.0075,0.000530031,-0.000453615
0.007539063,0.000514448,-0.000473329
0.007578125,0.000508627,-0.000490791
0.007617188,0.000508815,-0.000553688
0.00765625,0.000502619,-0.000520268
0.007695313,0.000497925,-0.000561011
0.007734375,0.000499427,-0.000619778
0.007773438,0.000492856,-0.000586921
0.0078125,0.000479525,-0.000685117
0.007851563,0.000465631,-0.000650945
0.007890625,0.000487599,-0.000652635
0.007929688,0.000482154,-0.000702953
0.00796875,0.000462815,-0.000629541
0.008007813,0.000468448,-0.00072661
0.008046875,0.000472203,-0.000726798
0.008085938,0.000473142,-0.000753084
0.008125,0.000446856,-0.000797769
0.008164063,0.000444227,-0.000734496
0.008203125,0.000454742,-0.000778806
0.008242188,0.000447607,-0.000754774
0.00828125,0.000452301,-0.000744823
0.008320313,0.000454929,-0.000726235
0.008359375,0.000462815,-0.000699574
0.008398438,0.000460187,-0.000724545
0.0084375,0.000432774,-0.000728863
0.008476563,0.000429583,-0.000801525
0.008515625,0.000431648,-0.000815982
0.008554688,0.000432774,-0.000810912
0.00859375,0.000443101,-0.000831378
0.008632813,0.000427893,-0.000847149
0.008671875,0.000428832,-0.000864798
0.008710938,0.000424701,-0.000786692
0.00875,0.000422448,-0.000772235
0.008789063,0.000430709,-0.000850341
0.008828125,0.000410995,-0.000838324
0.008867188,0.000423199,-0.000797582
0.00890625,0.000423574,-0.000810912
0.008945313,0.000415877,-0.00083288
0.008984375,0.000425264,-0.000815982
0.009023438,0.000419632,-0.000751019
0.0090625,0.000420946,-0.000778806
0.009101563,0.000411183,-0.000825933
0.009140625,0.000412121,-0.000765476
0.009179688,0.000425828,-0.000815606
0.00921875,0.000424138,-0.000856912
0.009257813,0.000417566,-0.000797957
0.009296875,0.000419819,-0.000846398
0.009335938,0.00042226,-0.000726047
0.009375,0.000426766,-0.000640619
0.009414063,0.000435403,-0.000810724
0.009453125,0.000429207,-0.000829875
0.009492188,0.000417942,-0.000818422
0.00953125,0.000416815,-0.000759843
0.009570313,0.000422823,-0.000719664
0.009609375,0.000419444,-0.000687557
0.009648438,0.000433338,-0.000605321
0.0096875,0.000447419,-0.000689623
