T,Ch_0,Ch_1
0,-0.000407991,-3.38E-06
3.90625E-05,-0.000404611,9.81956720809432E-05
0.000078125,-0.000388652,7.96079635990821E-05
0.000117188,-0.000397101,0.000155649
0.00015625,-0.000397477,6.15835190106106E-05
0.000195313,-0.000398415,0.000118661
0.000234375,-0.000406113,9.33140516715655E-05
0.000273438,-0.000400481,9.38773155649553E-06
0.0003125,-0.000399917,6.4963102370949E-05
0.000351563,-0.000418693,-4.94E-05
0.000390625,-0.000406301,-5.18E-05
0.000429688,-0.000401232,4.35590744221392E-05
0.00046875,-0.000416628,6.02692365927013E-05
0.000507813,-0.000406489,7.41630792963147E-05
0.000546875,-0.00040893,0.000127673
0.000585938,-0.000411558,0.000127485
0.000625,-0.000413999,0.000127485
0.000664063,-0.00041475,0.000112653
0.000703125,-0.000399166,0.000153771
0.000742188,-0.00039973,0.00019902
0.00078125,-0.000390154,0.000183436
0.000820313,-0.000371003,0.000275624
0.000859375,-0.000380954,0.000266987
0.000898438,-0.000384709,0.000237885
0.0009375,-0.00037964,0.000217608
0.000976563,-0.000369689,0.000305665
0.001015625,-0.000363493,0.000352791
0.001054688,-0.000371566,0.000267738
0.00109375,-0.000364244,0.000316179
0.001132813,-0.000373068,0.000264359
0.001171875,-0.000393158,0.000204465
0.001210938,-0.000396726,0.000205216
0.00125,-0.00038715,0.000280318
0.001289063,-0.000365934,0.000317869
0.001328125,-0.000380954,0.000304726
0.001367188,-0.000386211,0.00033026
0.00140625,-0.000370064,0.000333264
0.001445313,-0.000375885,0.000373819
0.001484375,-0.000370252,0.000366309
0.001523438,-0.000365934,0.000408554
0.0015625,-0.000358424,0.000408179
0.001601563,-0.00037044,0.00040724
0.001640625,-0.00037626,0.000460187
0.001679688,-0.000359926,0.000433713
0.00171875,-0.00036293,0.000438032
0.001757813,-0.000371566,0.000391844
0.001796875,-0.000374007,0.000309983
0.001835938,-0.000353917,0.000371003
0.001875,-0.000365934,0.000402358
0.001914063,-0.000368562,0.00036875
0.001953125,-0.000336269,0.000411746
0.001992188,-0.000337958,0.000468823
0.00203125,-0.000349224,0.00056195
0.002070313,-0.000339836,0.000535852
0.002109375,-0.000329509,0.000531533
0.002148438,-0.000333264,0.000592929
0.0021875,-0.000337207,0.00046488
0.002226563,-0.000339836,0.000465631
0.002265625,-0.000329509,0.000489852
0.002304688,-0.00033364,0.000438783
0.00234375,-0.000330636,0.000530782
0.002382813,-0.000328195,0.000532848
0.002421875,-0.000345844,0.000528717
0.002460938,-0.000335893,0.000525901
0.0025,-0.000332513,0.000496235
0.002539063,-0.000344905,0.000499803
0.002578125,-0.000336456,0.000438595
0.002617188,-0.000327444,0.00052177
0.00265625,-0.000328007,0.000529093
0.002695313,-0.000332138,0.000481591
0.002734375,-0.000337395,0.000524023
0.002773438,-0.000328007,0.000482529
0.0028125,-0.000342652,0.000522333
0.002851563,-0.00034284,0.000537166
0.002890625,-0.000326505,0.000490227
0.002929688,-0.000336456,0.000515762
0.00296875,-0.000331199,0.000531721
0.003007813,-0.000327069,0.000540733
0.003046875,-0.000325567,0.000611329
0.003085938,-0.000312236,0.000635925
0.003125,-0.000308105,0.000674415
0.003164063,-0.000302848,0.000783125
0.003203125,-0.000284824,0.00072417
0.003242188,-0.000294399,0.000671974
0.00328125,-0.000298154,0.000760031
0.003320313,-0.000288579,0.000754961
0.003359375,-0.000271305,0.000791574
0.003398438,-0.000251403,0.000825933
0.0034375,-0.000261354,0.000814667
0.003476563,-0.000243142,0.000920749
0.003515625,-0.000239575,0.0009031
0.003554688,-0.000249338,0.00094741
0.00359375,-0.000233379,0.001034153
0.003632813,-0.000227934,0.000972569
0.003671875,-0.000220612,0.000970691
0.003710938,-0.000229061,0.000974822
0.00375,-0.00023751,0.000992283
0.003789063,-0.000224742,0.001018757
0.003828125,-0.00021911,0.001021385
0.003867188,-0.000218546,0.001046732
0.00390625,-0.000215918,0.001090854
0.003945313,-0.000225306,0.001039597
0.003984375,-0.000224742,0.001059687
0.004023438,-0.000208783,0.001078275
0.0040625,-0.000218359,0.001008055
0.004101563,-0.000218171,0.001088601
0.004140625,-0.000207093,0.001082218
0.004179688,-0.000212163,0.001043916
0.00421875,-0.000211599,0.001068136
0.004257813,-0.000229999,0.000994724
0.004296875,-0.000236759,0.000994912
0.004335938,-0.000225869,0.001006928
0.004375,-0.000237134,0.00096243
0.004414063,-0.000225681,0.001075646
0.004453125,-0.000216106,0.001039973
0.004492188,-0.000216481,0.000980267
0.00453125,-0.000210473,0.001120332
0.004570313,-0.000196391,0.001147556
0.004609375,-0.000180057,0.001181915
0.004648438,-0.000188506,0.001212519
0.0046875,-0.000179681,0.001210079
0.004726563,-0.000174612,0.001196185
0.004765625,-0.000190571,0.001173279
0.004804688,-0.000184938,0.001121646
0.00484375,-0.000179306,0.001059312
0.004882813,-0.000186065,0.001053303
0.004921875,-0.000186816,0.00103772
0.004960938,-0.000213477,0.000962806
0.005,-0.000222489,0.000857663
0.005039063,-0.000211412,0.000890145
0.005078125,-0.000213477,0.000922626
0.005117188,-0.000200146,0.00094234
0.00515625,-0.00020822,0.000936896
0.005195313,-0.000218734,0.000895026
0.005234375,-0.000222865,0.000892022
0.005273438,-0.000232816,0.00080772
0.0053125,-0.000230563,0.000803778
0.005351563,-0.000225681,0.000811663
0.005390625,-0.000242016,0.00076341
0.005429688,-0.000242391,0.0007191
0.00546875,-0.000234506,0.000717786
0.005507813,-0.000240326,0.000727361
0.005546875,-0.000236759,0.00075421
0.005585938,-0.000244832,0.000798708
0.005625,-0.00022662,0.000782374
0.005664063,-0.000219297,0.000912675
0.005703125,-0.000227371,0.000946659
0.005742188,-0.000201085,0.000936896
0.00578125,-0.000197893,0.001016316
0.005820313,-0.000191697,0.001023075
0.005859375,-0.000177616,0.001024765
0.005898438,-0.000179681,0.001026079
0.0059375,-0.000179681,0.001014438
0.005976563,-0.000192636,0.001013312
0.006015625,-0.000176677,0.001016316
0.006054688,-0.000174049,0.000980079
0.00609375,-0.00018982,0.000984585
0.006132813,-0.000177616,0.000911173
0.006171875,-0.000189632,0.000941965
0.006210938,-0.000187191,0.000959802
0.00625,-0.000185314,0.000854284
0.006289063,-0.000206155,0.000852218
0.006328125,-0.000213289,0.000807345
0.006367188,-0.000214228,0.000771484
0.00640625,-0.000216481,0.000672537
0.006445313,-0.000229061,0.000640807
0.006484375,-0.00024333,0.000661084
0.006523438,-0.000253093,0.000582227
0.0065625,-0.000259665,0.000576031
0.006601563,-0.000249901,0.000595933
0.006640625,-0.000238824,0.000652823
0.006679688,-0.00024333,0.000611329
0.00671875,-0.00024671,0.000595933
0.006757813,-0.000242016,0.000725108
0.006796875,-0.000240138,0.000643247
0.006835938,-0.000250277,0.000587484
0.006875,-0.000246334,0.000687182
0.006914063,-0.000236383,0.000650382
0.006953125,-0.000238636,0.000601378
0.006992188,-0.000244832,0.000626537
0.00703125,-0.000237322,0.000652635
0.007070313,-0.000213853,0.000710088
0.007109375,-0.000211036,0.000671223
0.007148438,-0.000214791,0.000692627
0.0071875,-0.000206342,0.000798145
0.007226563,-0.000209534,0.000757027
0.007265625,-0.000210661,0.000725672
0.007304688,-0.000206155,0.000680047
0.00734375,-0.000217232,0.000666717
0.007382813,-0.000214228,0.000690562
0.007421875,-0.000221926,0.00065226
0.007460938,-0.000237885,0.000615647
0.0075,-0.000222114,0.000573778
0.007539063,-0.00022662,0.000564954
0.007578125,-0.000250652,0.000575656
0.007617188,-0.000245583,0.000564954
0.00765625,-0.000229812,0.000678733
0.007695313,-0.000222677,0.000712341
0.007734375,-0.000231877,0.000617713
0.007773438,-0.000247461,0.000694317
0.0078125,-0.000231877,0.000669345
0.007851563,-0.000231689,0.000643998
0.007890625,-0.000246522,0.000680047
0.007929688,-0.000228685,0.00063799
0.00796875,-0.000216106,0.000633109
0.008007813,-0.000229061,0.000618839
0.008046875,-0.000238636,0.000723419
0.008085938,-0.000222677,0.000783876
0.008125,-0.00020484,0.000791949
0.008164063,-0.000190946,0.000900471
0.008203125,-0.000178742,0.000878692
0.008242188,-0.000183249,0.000856912
0.00828125,-0.000183624,0.000868177
0.008320313,-0.000190195,0.000864986
0.008359375,-0.000186816,0.000870618
0.008398438,-0.000172359,0.000786316
0.0084375,-0.000183061,0.000814667
0.008476563,-0.000186253,0.000793827
0.008515625,-0.000195265,0.000676855
0.008554688,-0.000204653,0.000653949
0.00859375,-0.000216106,0.000556692
0.008632813,-0.000240701,0.000471076
0.008671875,-0.000245959,0.000510317
0.008710938,-0.00025253,0.000512758
0.00875,-0.000247461,0.000512946
0.008789063,-0.000247836,0.00048497
0.008828125,-0.000264359,0.000415877
0.008867188,-0.000266612,0.000380015
0.00890625,-0.000276938,0.000317118
0.008945313,-0.000280318,0.000256661
0.008984375,-0.000285575,0.000192448
0.009023438,-0.00028595,0.000236759
0.0090625,-0.000276938,0.000202587
0.009101563,-0.000291583,0.000202587
0.009140625,-0.000286138,0.00027093
0.009179688,-0.000273934,0.000249338
0.00921875,-0.000271493,0.000306228
0.009257813,-0.000274873,0.00023413
0.009296875,-0.00028013,0.000229624
0.009335938,-0.000269991,0.000264734
0.009375,-0.000280505,0.000208032
0.009414063,-0.000289893,0.000211412
0.009453125,-0.000283697,0.000268677
0.009492188,-0.000273558,0.000279003
0.00953125,-0.000266612,0.000279003
0.009570313,-0.000270742,0.000349036
0.009609375,-0.000266612,0.000300971
0.009648438,-0.000261542,0.000374946
0.0096875,-0.000262481,0.000483844
0.009726563,-0.000251403,0.000437844
0.009765625,-0.000236195,0.000438783
0.009804688,-0.000231314,0.000502807
0.00984375,-0.000229999,0.000545239
0.009882813,-0.000230938,0.000510693
0.009921875,-0.000224742,0.000570023
0.009960938,-0.000218734,0.000623533
0.01,-0.000217795,0.000584292
0.010039063,-0.000227371,0.00055519
0.010078125,-0.000234881,0.000557256
0.010117188,-0.000229061,0.000572276
0.01015625,-0.000223428,0.000547305
0.010195313,-0.000213477,0.000610954
0.010234375,-0.000199208,0.000663525
0.010273438,-0.000190946,0.000682864
0.0103125,-0.000188881,0.000766227
0.010351563,-0.000178742,0.000804341
0.010390625,-0.00018813,0.000773925
0.010429688,-0.00018644,0.000706333
0.01046875,-0.000173485,0.000669533
0.010507813,-0.00018813,0.000642872
0.010546875,-0.000201836,0.000686431
0.010585938,-0.000203526,0.00070577
0.010625,-0.000187379,0.00066897
0.010664063,-0.000187004,0.000662023
0.010703125,-0.000195453,0.000598374
0.010742188,-0.00018813,0.000590676
0.01078125,-0.000202024,0.00053097
0.010820313,-0.000212914,0.000470701
0.010859375,-0.000205967,0.00054017
0.010898438,-0.000210097,0.000542048
0.0109375,-0.000214228,0.00048497
0.010976563,-0.000220424,0.000485346
0.011015625,-0.000216857,0.000492668
0.011054688,-0.00020653,0.000507125
0.01109375,-0.000202212,0.000563827
0.011132813,-0.000192261,0.000551435
0.011171875,-0.000184563,0.000575843
0.011210938,-0.000177991,0.000620717
0.01125,-0.00017142,0.000640807
0.011289063,-0.000161657,0.000734496
0.011328125,-0.000157526,0.000786129
0.011367188,-0.000161844,0.000760406
0.01140625,-0.000150579,0.000780308
0.011445313,-0.000138938,0.000790071
0.011484375,-0.000148702,0.000724357
0.011523438,-0.000148514,0.000741631
0.0115625,-0.000153771,0.000800961
0.011601563,-0.000159404,0.000759092
0.011640625,-0.00015133,0.000691688
0.011679688,-0.000158277,0.000744259
0.01171875,-0.00015133,0.000792888
0.011757813,-0.000148514,0.00068568
0.011796875,-0.000161657,0.000665215
0.011835938,-0.000162032,0.000701451
0.011875,-0.000160155,0.00065808
0.011914063,-0.000162971,0.000728676
0.011953125,-0.000147012,0.000717598
0.011992188,-0.000138187,0.000694504
0.01203125,-0.000145134,0.000819361
0.012070313,-0.000131992,0.000790259
0.012109375,-0.000135747,0.000812602
0.012148438,-0.000132179,0.000876063
0.0121875,-0.000116032,0.000774676
0.012226563,-0.000124669,0.000855973
0.012265625,-0.000121102,0.000958112
0.012304688,-0.000111902,0.000879067
0.01234375,-0.000104016,0.000969753
0.012382813,-9.78E-05,0.000994161
0.012421875,-0.00010289,0.000906667
0.012460938,-9.43E-05,0.00097501
0.0125,-8.22E-05,0.001016691
0.012539063,-9.37E-05,0.001008055
0.012578125,-9.16E-05,0.001014626
0.012617188,-7.92E-05,0.000986087
0.01265625,-9.31E-05,0.000934079
0.012695313,-8.52E-05,0.000998667
0.012734375,-6.67E-05,0.001021948
0.012773438,-6.83E-05,0.001032838
0.0128125,-6.89E-05,0.001100805
0.012851563,-6.59E-05,0.00102514
0.012890625,-5.75E-05,0.001073769
0.012929688,-5.58E-05,0.001156005
0.01296875,-5.18E-05,0.001108503
0.013007813,-4.75E-05,0.001133475
