T,Ch_0,Ch_1
0,0.00028933,-0.000340587
3.90625E-05,0.000277877,-0.000443664
0.000078125,0.000273371,-0.000432962
0.000117188,0.00027262,-0.000470138
0.00015625,0.000273371,-0.000484782
0.000195313,0.000250089,-0.000614333
0.000234375,0.000238073,-0.000709713
0.000273438,0.000245583,-0.000625974
0.0003125,0.000239199,-0.000640056
0.000351563,0.000239763,-0.000637427
0.000390625,0.000238073,-0.000698259
0.000429688,0.000226057,-0.000751206
0.00046875,0.000220987,-0.000758153
0.000507813,0.00022155,-0.000837761
0.000546875,0.000220236,-0.00086461
0.000585938,0.000210097,-0.000791386
0.000625,0.000208783,-0.000779369
0.000664063,0.000210473,-0.000824055
0.000703125,0.000211224,-0.000825557
0.000742188,0.00020991,-0.000824431
0.00078125,0.000192824,-0.000915492
0.000820313,0.000183624,-0.000987589
0.000859375,0.000176865,-0.000934267
0.000898438,0.000166726,-0.000969189
0.0009375,0.000158277,-0.001077336
0.000976563,0.000143069,-0.001103622
0.001015625,0.000139502,-0.001092356
0.001054688,0.000137436,-0.001129907
0.00109375,0.000125983,-0.001212895
0.001132813,0.000124106,-0.001277295
0.001171875,0.000116032,-0.001215711
0.001210938,8.63671303197588E-05,-0.001183042
0.00125,0.00010702,-0.00121665
0.001289063,0.00013124,-0.001159197
0.001328125,0.000102139,-0.001173842
0.001367188,9.93221998677227E-05,-0.001237679
0.00140625,9.74446535564236E-05,-0.001314282
0.001445313,8.61793756886289E-05,-0.001364601
0.001484375,8.09222460169914E-05,-0.00133287
0.001523438,8.82446766310579E-05,-0.001383564
0.0015625,9.95099544988526E-05,-0.001374552
0.001601563,8.88079405244477E-05,-0.00125007
0.001640625,7.96079635990821E-05,-0.001357654
0.001679688,7.24732876161455E-05,-0.001447964
0.00171875,6.42120838464294E-05,-0.001418486
0.001757813,5.33223152408946E-05,-0.00145247
0.001796875,5.83916902814022E-05,-0.001293817
0.001835938,6.47753477398191E-05,-0.001358217
0.001875,6.57141208954687E-05,-0.001412854
0.001914063,6.04569912238312E-05,-0.001277858
0.001953125,4.52488661023084E-05,-0.001418111
0.001992188,5.4636597658804E-05,-0.001348642
0.00203125,5.72651624946227E-05,-0.001298887
0.002070313,4.39345836843991E-05,-0.001307523
0.002109375,4.78774309381272E-05,-0.001275042
0.002148438,4.4122338315529E-05,-0.001397645
0.0021875,4.05550003240607E-05,-0.00130527
0.002226563,5.65141439701031E-05,-0.001256454
0.002265625,5.08815050362058E-05,-0.001319915
0.002304688,5.0318241142816E-05,-0.001402339
0.00234375,3.62366438080727E-05,-0.001388445
